player	injury	position	team	games	fga	fgm	threepm	fgp	fta	ftm	ftp	totalpts	ppg	totalast	apg	totalrb	rbpg	totalstls	spg	totalblk	bpg	totalmin	mpg
"Bertans, Davis"		F	WAS	54	610	265	200	43.4	122	104	85.2	834	15.4	92	1.7	245	4.5	37	0.7	33	0.6	1581	29.28
"Beverley, Patrick"		G	LAC	48	325	139	75	42.8	41	27	65.9	380	7.9	179	3.7	259	5.4	53	1.1	25	0.5	1298	27.04
"Bey, Saddiq"		F	DET																				
"Bey, Tyler"		F	DAL																				
"Birch, Khem"		C	ORL	40	115	56	0	48.7	67	41	61.2	153	3.8	35	0.9	180	4.5	16	0.4	21	0.5	777	19.43
"Bitadze, Goga"		C	IND	49	129	61	6	47.3	33	24	72.7	152	3.1	21	0.4	96	2	6	0.1	32	0.7	411	8.39
"Biyombo, Bismack"		C	CHA	53	278	151	0	54.3	151	91	60.3	393	7.4	50	0.9	308	5.8	10	0.2	49	0.9	1030	19.43
"Bjelica, Nemanja"		F	SAC	64	605	287	125	47.4	73	60	82.2	759	11.9	179	2.8	412	6.4	54	0.8	33	0.5	1823	28.48
"Bledsoe, Eric"		G	NO	56	662	319	70	48.2	193	157	81.3	865	15.4	302	5.4	259	4.6	53	0.9	25	0.4	1524	27.21
"Bogdanovic, Bogdan"		G	ATL	53	639	277	137	43.3	105	76	72.4	767	14.5	169	3.2	171	3.2	54	1	14	0.3	1512	28.53
"Bogdanovic, Bojan"		F	UTH	63	935	418	189	44.7	277	250	90.3	1275	20.2	131	2.1	259	4.1	34	0.5	7	0.1	2082	33.05
"Bol, Bol"		C	DEN																				
"Bolden, Jonah"		F	PHO	7	11	4	0	36.4	4	2	50	10	1.4	0	0	9	1.3	3	0.4	2	0.3	47	6.71
"Bolden, Marques"		C	CLE	1	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	3	3
"Bolmaro, Leandro"		G	MIN																				
"Bone, Jordan"		G	ORL	10	20	5	2	25	0	0	0	12	1.2	8	0.8	4	0.4	1	0.1	0	0	54	5.4
